DISTANCE_IN_METERS,DURATION_IN_SEC,NDT_IN_KMH,ORGANISATION,POINT_1_CITY,POINT_1_COUNTRY,POINT_1_LAT,POINT_1_LNG,POINT_1_NAME,POINT_1_POSTAL_CODE,POINT_1_STREET,POINT_1_STREET_NUMBER,POINT_2_CITY,POINT_2_COUNTRY,POINT_2_LAT,POINT_2_LNG,POINT_2_NAME,POINT_2_POSTAL_CODE,POINT_2_STREET,POINT_2_STREET_NUMBER,RBA_ID,REPORT_ID,REPORT_NAME,ROAD_TYPE,_id
1230,89,50,COWI,Aarhus,Denmark,56.14774074192765,10.158060728836062,3984,8230,Anker Jensens Vej,12,Odder,Denmark,56.151949698562795,10.17614185152047,3985,8300,Rypevej,11,186207,184758,AAR_BT_0184 3984 3985,MAJOR_ROAD,118
490,25,71,COWI,,Denmark,56.18461478101305,10.195804343585905,3155,,,,,Denmark,56.18324423193787,10.200790644180302,2660,,,,186225,184998,AAR_BT_0193 3155 2660,MAJOR_ROAD,127
740,53,50,COWI,Aarhus,Denmark,56.179322409643085,10.175338207340246,4363,8200,Paludan-Müllers Vej,231,Aarhus,Denmark,56.17389164456407,10.182183959489976,3983,8200,Paludan-Müllers Vej,48,229126,193213,AAR_BT_0341 4363 3983,MAJOR_ROAD,262
665,40,60,COWI,Højbjerg,Denmark,56.105069529457616,10.206927436840033,4372,8270,Oddervej,172,Højbjerg,Denmark,56.09926842434083,10.209020390213027,4369,8270,Oddervej,206,229511,201535,AAR_BT_0443 4372 4369,MAJOR_ROAD,364
664,40,60,COWI,Højbjerg,Denmark,56.09926842434083,10.209020390213027,4369,8270,Oddervej,206,Højbjerg,Denmark,56.105069529457616,10.206927436840033,4372,8270,Oddervej,172,229513,201561,AAR_BT_0444 4369 4372,MAJOR_ROAD,365
2935,139,76,COWI,Hasselager,Denmark,56.11996007421442,10.083678288360602,4549,8361,Genvejen,,Hasselager,Denmark,56.110590119560015,10.122408752149568,4562,8361,Møllebakken,15,229523,201696,AAR_BT_0449 4549 4562,MAJOR_ROAD,370
775,44,63,COWI,Aarhus,Denmark,56.124304277059785,10.141663381614649,4579,8260,Ravnsbjergvej,,Aarhus,Denmark,56.11919616177176,10.142859364417973,4559,8260,Søren Lofts Vej,4,229527,201749,AAR_BT_0451 4579 4559,MAJOR_ROAD,372
490,27,65,COWI,,Denmark,56.1833360361296,10.200700790178303,2660,,,,,Denmark,56.18028339302693,10.198778699405693,3154,,,,186227,185025,AAR_BT_0194 2660 3154,MAJOR_ROAD,128
460,26,64,COWI,,Denmark,56.1803125039424,10.19893292642405,3154,,,,,Denmark,56.18324423193787,10.200790644180302,2660,,,,186229,185051,AAR_BT_0195 3154 2660,MAJOR_ROAD,129
960,58,60,COWI,Aarhus,Denmark,56.12437832738177,10.180056017196648,4553,8260,Jyllands Alle,158,Højbjerg,Denmark,56.12004117576438,10.167441665012348,4563,8270,Christian X's Vej,169,229473,198193,AAR_BT_0424 4553 4563,MAJOR_ROAD,345
790,47,61,COWI,Højbjerg,Denmark,56.12994000000001,10.187329678573633,4548,8270,Jyllands Alle,114,Aarhus,Denmark,56.12437832738177,10.180056017196648,4553,8260,Jyllands Alle,158,229477,198247,AAR_BT_0426 4548 4553,MAJOR_ROAD,347
540,32,61,COWI,Aarhus,Denmark,56.136738858609256,10.20776318039134,4375,8000,Strandvejen,94,Aarhus,Denmark,56.13236396838821,10.211722754631069,4376,8000,Strandvejen,122,229495,201319,AAR_BT_0435 4375 4376,MAJOR_ROAD,356
1710,103,60,COWI,Aarhus,Denmark,56.13236396838821,10.211722754631069,4376,8000,Strandvejen,122,Højbjerg,Denmark,56.117828971777826,10.207113017196662,4377,8270,Oddervej,51,229499,201373,AAR_BT_0437 4376 4377,MAJOR_ROAD,358
1135,61,67,COWI,Højbjerg,Denmark,56.1102508220387,10.153714822090137,4550,8270,Christian X's Vej,,Aarhus,Denmark,56.118198830180894,10.148353690807198,4334,8260,Ringvej Syd,100,229545,203530,AAR_BT_0460 4550 4334,MAJOR_ROAD,381
1940,109,64,COWI,Aarhus,Denmark,56.11814500000001,10.148131067458962,4334,8260,Ringvej Syd,100,Højbjerg,Denmark,56.12004117576438,10.167441665012348,4563,8270,Christian X's Vej,169,229547,203557,AAR_BT_0461 4334 4563,MAJOR_ROAD,382
2643,106,90,COWI,Aarhus,Denmark,56.21399075104399,10.145073305557275,4326,8200,15,,Hinnerup,Denmark,56.22579478256016,10.116589665412903,4322,8382,Stenhøjvej,5,172300,172156,AAR_BT_0026 4326 4322,MAJOR_ROAD,26
555,29,69,COWI,,Denmark,56.181353258286634,10.192906008598356,2659,,,,,Denmark,56.184659561973874,10.19604842460626,3155,,,,186231,185078,AAR_BT_0196 2659 3155,MAJOR_ROAD,130
835,38,79,COWI,Ega,Denmark,56.21163929866206,10.277436490737955,4353,8250,Grenåvej,,Ega,Denmark,56.207098572394976,10.267205839286817,4569,8250,Grenåvej,,192372,190475,AAR_BT_0281 4353 4569,MAJOR_ROAD,214
1125,57,71,COWI,Risskov,Denmark,56.20913963031665,10.246642527612721,4354,8240,Viengevej,,Ega,Denmark,56.20482701617347,10.259584355819698,4578,8250,Grenåvej,402,229098,192840,AAR_BT_0325 4354 4578,MAJOR_ROAD,248
940,54,63,COWI,Risskov,Denmark,56.205074,10.236217525131224,4340,8240,Lystrupvej,42,Risskov,Denmark,56.20043625463636,10.241989084655756,4567,8240,Grenåvej,,229102,192893,AAR_BT_0329 4340 4567,MAJOR_ROAD,250
1905,107,64,COWI,Højbjerg,Denmark,56.12004117576438,10.167441665012348,4563,8270,Christian X's Vej,169,Aarhus,Denmark,56.118198830180894,10.148353690807198,4334,8260,Ringvej Syd,100,229549,203583,AAR_BT_0462 4563 4334,MAJOR_ROAD,383
735,40,66,COWI,Højbjerg,Denmark,56.1102508220387,10.153714822090137,4550,8270,Christian X's Vej,,Højbjerg,Denmark,56.10986429894997,10.162728804893504,4557,8270,Ringvej Syd,,229551,203610,AAR_BT_0463 4550 4557,MAJOR_ROAD,384
